t010100_3710	Vaimon etsijä	skvr04127900
t040201_0630	Vävy mustalla orilla	skvr01115620,skvr01115630,skvr01115650,skvr01115660,skvr01115681,skvr01115680,skvr01115731,skvr01115730,skvr01115740,skvr01115750,skvr01115770,skvr01115780,skvr01115790,skvr01115811,skvr01115810,skvr01115820,skvr01115830,skvr01115850,skvr01115860,skvr01115870,skvr01115880,skvr01115910,skvr01115940,skvr01115960,skvr01222320,skvr02104880,skvr02104900,skvr02104931,skvr02104930,skvr02104940,skvr02104960,skvr02104971,skvr02104970,skvr02104980,skvr02105000,skvr02105010,skvr07128690,skvr07128700,skvr13035570,skvr13035600,skvr13040830
t040201_0640	Vävyn virsi	skvr01115610,skvr01115620,skvr01115630,skvr01115650,skvr01115660,skvr01115670,skvr01115681,skvr01115680,skvr01115690,skvr01115700,skvr01115710,skvr01115720,skvr01115731,skvr01115730,skvr01115740,skvr01115750,skvr01115760,skvr01115770,skvr01115780,skvr01115790,skvr01115800,skvr01115811,skvr01115810,skvr01115820,skvr01115830,skvr01115840,skvr01115850,skvr01115860,skvr01115870,skvr01115880,skvr01115890,skvr01115900,skvr01115910,skvr01115920,skvr01115930,skvr01115940,skvr01115960,skvr01222320,skvr01222330,skvr01222340,skvr02111120,skvr02104810,skvr02104820,skvr02104830,skvr02104840,skvr02104850,skvr02104860,skvr02104870,skvr02104880,skvr02104890,skvr02104900,skvr02104910,skvr02104920,skvr02104931,skvr02104930,skvr02104940,skvr02104950,skvr02104960,skvr02104971,skvr02104970,skvr02104980,skvr02104990,skvr02105000,skvr02105010,skvr07101100,skvr07101270,skvr07101280,skvr07101800,skvr07128090,skvr07128511,skvr07128521,skvr07128522,skvr07128520,skvr07128531,skvr07128532,skvr07128530,skvr07128540,skvr07128550,skvr07128560,skvr07128570,skvr07128580,skvr07128630,skvr07128660,skvr07128670,skvr07128680,skvr07128690,skvr07128700,skvr07128710,skvr07128720,skvr07128730,skvr07129930
t040202_0290	Vieri kultasi viereen	skvr03130820
t040202_0300	Viinan pyynö	skvr04135280
t040205_0170	Vuotit viikon, vuota vielä	skvr01115250,skvr01115350,skvr01115360,skvr01115930,skvr01115970,skvr01115980,skvr01115990,skvr01116000,skvr01116010,skvr01116030,skvr01116060,skvr01116080,skvr01116090,skvr01116100,skvr01116110,skvr01116150,skvr01116160,skvr01116190,skvr01116200,skvr01116220,skvr01116260,skvr01116270,skvr01116290,skvr01116310,skvr01116340,skvr01116360,skvr01116370,skvr01116390,skvr01116410,skvr01116420,skvr01116450,skvr01116460,skvr01116480,skvr01116490,skvr01116500,skvr01116510,skvr01116520,skvr01116530,skvr01116540,skvr01116550,skvr01116560,skvr01116570,skvr01116580,skvr01116590,skvr01117060,skvr01222360,skvr01222370,skvr01222400,skvr01222410,skvr01222430,skvr01222440,skvr01222460,skvr01222470,skvr01222490,skvr02105050,skvr02105070,skvr12181750
t040206_1690	Vaihdoit ison, emon, veikon, siskon, valkean vetesi	skvr03116580,skvr03116750,skvr03117680,skvr03124940,skvr03130850,skvr04112740,skvr04108870,skvr04118010,skvr04122950,skvr04131570,skvr04141710,skvr05216110,skvr05216120,skvr07129160,skvr13036980,skvr13036990,skvr13037000,skvr13037010,skvr13037020,skvr13037030,skvr13037040,skvr13047370,skvr13047430,skvr15111660
t040206_1700	Verikoira on vieressäs - veren imee, lihan syö, nahan maahan naulaa	skvr03104260,skvr03122720,skvr03134870,skvr03134910,skvr03136580,skvr03142290,skvr04112380,skvr04101710,skvr04103310,skvr04108840,skvr04122950,skvr04123300,skvr04124210,skvr04124290,skvr04124320,skvr04125810,skvr04126490,skvr04127460,skvr04127480,skvr04127950,skvr04128110,skvr04130860,skvr04132830,skvr04139460,skvr04141910,skvr04145820,skvr13036790,skvr13038550,skvr13038590,skvr13038640
t040206_1710	Viel on sormet soitukkaiset	skvr04107180,skvr04125810,skvr04134780,skvr04135870
t040206_1720	Vieraat otit omaksi	skvr03100310,skvr03117500,skvr03124450,skvr03124940,skvr03132320,skvr03133390,skvr03142750
t040206_1730	Vieras emo - entinen emo	skvr03104180,skvr03142540,skvr13035510
t040206_1740	Vierit kotoa kuin puu pinosta	skvr03117680,skvr03124450,skvr03124940,skvr03130750,skvr03131830,skvr03133390,skvr03133480,skvr03133710,skvr04131570,skvr05213870,skvr05215630,skvr05215950,skvr05217040,skvr13035120,skvr13035140,skvr13036550,skvr13037760,skvr13108900
t040206_1750	Voille haisi vuotehesi	skvr03117520,skvr03125870,skvr03130790,skvr03135580,skvr04115820,skvr04115890,skvr04123260,skvr04126040,skvr04128380,skvr04131280,skvr04133160,skvr04136160,skvr04136220,skvr04139000,skvr05216340,skvr13016960,skvr13037820,skvr13038060,skvr13046540,skvr13047370,skvr15111740
t040206_1760	Vuoden luusit lusikasta	skvr04127950,skvr04134340
t040301_0370	Vihoissaan on vanhat piiat	skvr05309651,skvr05309650,skvr05309661,skvr05309660
t040309_0160	Vuoteelle viemisen palkkiot	skvr03117200
t040309_0170	Vuotehelle siskon laitoin	skvr04131290,skvr13046010,skvr13046020
t040401_0790	Vaatteiden pesu	skvr01116820,skvr01116900,skvr01116930,skvr01116970,skvr01117020,skvr01117310,skvr01117330
t040401_0800	Veden hakeminen	skvr02105260,skvr02105310,skvr02105360,skvr02105380,skvr02105440,skvr02105460,skvr02105470,skvr02105540,skvr03104100,skvr03116620,skvr03117200,skvr03130410,skvr03142800,skvr04112440,skvr04114560,skvr04122970,skvr04123230,skvr04134160,skvr04138400,skvr04139950,skvr04145960,skvr04146050,skvr04146150,skvr04146160,skvr04146480,skvr04146490,skvr04147470,skvr04147830,skvr04148000,skvr05308960,skvr05309091,skvr07129760,skvr07129940,skvr07129960,skvr07129970,skvr07130000,skvr07130030,skvr07130230,skvr07130640,skvr07131220,skvr07131280,skvr07131380,skvr13042770,skvr13043150,skvr13043170,skvr13043360,skvr13043560,skvr13044120,skvr13044130
t040401_0810	Vieraiden vastaanotto	skvr13043190
t040402_0340	Vie kirkkoon pyhänä	skvr13039100,skvr13039200,skvr13044470
t040501_0320	Viitta on kuuttaren kutoma	skvr04104750,skvr04123070,skvr04135180,skvr05214340
t040501_0440	Vävy on kananmunaa uudempi	skvr04114700,skvr04118000,skvr05213000,skvr05213040,skvr05307300,skvr05309730,skvr13036270,skvr13036280,skvr13047150
t040502_0520	Vesi meille vehnät tuo	skvr05216730,skvr05216740,skvr05216790,skvr05309500,skvr05309541,skvr05309540,skvr07128350,skvr13038480,skvr13041290,skvr13041390,skvr13041400,skvr13041430,skvr13041470,skvr13041530,skvr13046810
t040503_0630	Vaimo kaunis ja vakainen	skvr13043180
t040503_0640	Viivi villoillensa, näpsä näppitöille	skvr04112670,skvr04134180
t040504_0290	Viitsit olla vierosess, alla kainalon asua	skvr05306140,skvr05307531,skvr05307530
t040505_0850	Varikselta varsi, korpilta nenä, sudelta suu, muoto mustalta sialta	skvr01117590,skvr04131160,skvr05307660,skvr07130490,skvr13038880,skvr13045560,skvr13047010
t040505_0860	Viekää sulho saunaan ja pitäkää siellä kunnes katto päälle putoaa	skvr13039030,skvr13044370
t040506_0450	Vaihdoit sorjat silmäsi kierosilmiiin	skvr05215090
t040506_0460	Veit venakon, sait savakon	skvr05215070,skvr05307740,skvr13040020
t040506_0470	Viikon etsit vertaistasi	skvr05214820,skvr05215080,skvr05307700
t040506_0480	Virot etsit, maat valitsit	skvr04123350,skvr05307700,skvr05307761,skvr05307760,skvr05307790,skvr05309750,skvr13042900,skvr13042910
t040506_0490	Voi veikko mitä vetelet	skvr03128490,skvr05214790,skvr05214960,skvr05215000,skvr05215010,skvr05215070,skvr05307690,skvr05307731,skvr05307730,skvr05307790,skvr05308770,skvr05309750,skvr13040000,skvr13040010,skvr13040030,skvr13040060,skvr13109330
t040507_0180	Vaihdoit suorat sääryesi vääräsäärien välihin	skvr05213780,skvr05214210,skvr05308200
t040507_0190	Vannoit valitsevasi Suomesta sorian sulhon	skvr13038990,skvr13039000,skvr13039010,skvr13039040,skvr13039080,skvr13039150,skvr13039200
t040508_0350	Varusta mierun säkki	skvr13038700,skvr13045400
t040508_0360	Viisi vetelää suota	skvr13045690
t040510_0630	Viekää pois minkä toitte	skvr05214850,skvr05214890,skvr05214910,skvr05214940,skvr05215000,skvr05215030,skvr05215100,skvr05307750,skvr13039470,skvr13039490,skvr13039510,skvr13039530
t040510_0640	Vietiin meiltä vihainen piika	skvr04124370,skvr06107650,skvr06107660,skvr06165340,skvr07130890,skvr07131072,skvr13036140,skvr13039350,skvr13039820,skvr13039830,skvr13039840,skvr13039850,skvr13039860,skvr13039870,skvr13039880,skvr13046810
t040510_0650	Vähän tekijä, paljon syöjä	skvr06165340
t040512_0050	Viat virkoin vellostain	skvr04126940,skvr05215500,skvr13042930,skvr13042940,skvr13042980,skvr13043010,skvr13043040
t040512_0060	Vuoroin linnut, vuoroin langot	skvr04128200,skvr04130540
t040513_0330	Vasta on kerta keitettynä kiiskiä kirokaloja	skvr05216540,skvr05217140,skvr05309571,skvr05309570,skvr13045950,skvr13045980,skvr13046070,skvr13046080,skvr13046100,skvr13046140,skvr13046150,skvr13046170,skvr13046280,skvr13046330,skvr13046380
t040513_0340	Voi kun on nälkä näissä häissä	skvr05216540,skvr05216550,skvr13045790,skvr13045840,skvr13109700
t040601_0070	Viemme emolle viestit	skvr04124380,skvr04124450,skvr04134190
t040701_0290	Vaimoa tuotaessa	skvr09415290
t040701_0300	Valta morsiamelle	skvr01218941,skvr01218940,skvr01218950,skvr01218960,skvr01218970,skvr01218980,skvr01218990,skvr01221230,skvr09315060,skvr06107930,skvr07249120,skvr07249250,skvr07249280,skvr07249340,skvr10149540
t040701_0310	Vihittäessä terveeksi	skvr04145610,skvr09402810
t040801_0370	Viis minijää ei maksa virsujani (Anoppi, jos talo köyhä)	skvr13047840
t050100_5320	Vaari istui kynnyksellä - katseli hallan tuulta	skvr12119730
t050100_5330	Vaa vaa varis - pyssymies tulee	skvr13064080
t050100_5340	Valkea jänis, kussa kävit?	skvr03135390
t050100_5350	Valkea kana muni uunin alle	skvr13064050
t050100_5360	Varis istui aitan päällä	skvr09121180,skvr09121210,skvr09121220,skvr10117520
t050100_5370	Varis meni Ruotsiin	skvr09113690,skvr09121180,skvr09121190,skvr09121200,skvr09121210,skvr09121220,skvr09202680,skvr08125990,skvr08127170,skvr08127360,skvr08127470
t050100_5380	Varis raakkuu, kuusi kaatuu	skvr10120160
t050100_5390	Varis vaa, tule tuvan taa	skvr01119750,skvr01119760,skvr13064060,skvr13064070,skvr13064090,skvr13064100,skvr13064110,skvr13064120,skvr13064130,skvr13064140,skvr13064150,skvr13064160,skvr13064170,skvr13064180,skvr13064190,skvr13084000,skvr13120320,skvr13120330,skvr14114550
t050100_5400	Varis vaakkuu, häntä keikkuu	skvr13120310,skvr14114510,skvr14114530,skvr14114540
t050100_5410	Varis vanha vallesmanni	skvr13068040
t050100_5420	Varpaiden nimet	skvr14117750
t050100_5430	Varpusen olut	skvr06103991,skvr08139570,skvr08139580,skvr08139590,skvr08139600,skvr08139610,skvr08139620,skvr08139630,skvr08139640,skvr08139650,skvr08139660,skvr08150090,skvr10113240,skvr10113250,skvr10113260,skvr10113270,skvr10113290,skvr10113300,skvr12119740,skvr13120340,skvr14100760,skvr14100770,skvr14100790
t050100_5440	Vasikan juoma kaatu, ei ylös saatu	skvr10120161
t050100_5450	Vaska tu vara	skvr08148900,skvr12183590
t050100_5460	Vedetään nuottaa	skvr09203750,skvr09203760,skvr05310280,skvr06119400,skvr06119410,skvr06119420,skvr06119430,skvr06119440,skvr06119450,skvr06119460,skvr06119470,skvr06119480,skvr06119490,skvr06119500,skvr06119510,skvr06119520,skvr06119530,skvr06119540,skvr06119550,skvr06119560,skvr06119570,skvr06119580,skvr06119590,skvr06119600,skvr06119610,skvr06119620,skvr06119630,skvr06119640,skvr06119650,skvr06119660,skvr06119670,skvr06119680,skvr06119690,skvr06119700,skvr06119710,skvr06169410,skvr06169420,skvr06169430,skvr06169440,skvr07139390,skvr11102110,skvr11125870,skvr13064200,skvr13064210,skvr13064220,skvr13064240,skvr13064250,skvr13064260,skvr13064270,skvr13064280,skvr13064290,skvr13064300,skvr13064310,skvr13064320,skvr13064330,skvr13064340,skvr13120350,skvr13120360,skvr13120370,skvr13120380,skvr13120390,skvr13120400,skvr13120410,skvr13120420,skvr13120430,skvr13120440,skvr13120450,skvr13120460,skvr13120470,skvr13120500,skvr13120510,skvr13120520
t050100_5470	Veli meni metsään, puhui pukin sarveen	skvr04112240,skvr04117350,skvr09202700,skvr05218640,skvr06110470,skvr07134070,skvr07213240,skvr07213260,skvr07213270,skvr12110510,skvr12110520,skvr12119750
t050100_5480	Veräjän avaamisvuorot	skvr10119620
t050100_5490	Viisikuisena viihtymään	skvr06127870
t050100_5500	Visukinttu vietäköön, mäen takana syötäköön	skvr14114560
t050100_5510	Voi piikonen, voi poikonen - nuorena naimatta kuoli	skvr06123380
t050100_5520	Voi sinä lapsen lirpukka	skvr13064350
t050100_5530	Västäräkki teki pesän - varis hakkasi haloiksi	skvr13064360,skvr13064370
t050100_5540	Västäräkki vääräsääri tanssas tallin permannolla	skvr09121430
t050100_5550	Västäräkki vääräsääri kysyi ämmiltä	skvr06123300,skvr10117550,skvr10117561,skvr10117562,skvr10117560,skvr11100190,skvr11100200,skvr11125010,skvr12119760,skvr13062640,skvr13066470,skvr13066480
t050200_0370	Ville lammaspoisikkainen	skvr03111210,skvr03111220,skvr03101990
t050300_2110	Vaaki	skvr10118640
t050300_2120	Vanhapiika	skvr01121050,skvr04115840,skvr05222830,skvr06117760,skvr06127860,skvr06107600,skvr06107610,skvr06171390,skvr07126660,skvr12103770,skvr13030260,skvr13030270,skvr13030280,skvr13083010,skvr13107700,skvr13108010,skvr13126670
t050300_2130	Vappu (Vapo, Vappo)	skvr09127800,skvr09130140,skvr09130150,skvr09130150,skvr09130180,skvr09130190,skvr09130190,skvr09130480,skvr09130490,skvr09132610,skvr09104250,skvr07300430,skvr08142110,skvr08142150,skvr08142170,skvr08142190,skvr08142230,skvr08142240,skvr08142250,skvr08142260,skvr08142270,skvr08142300,skvr08142310,skvr08142320,skvr08142330,skvr08142340,skvr08151300,skvr10118050,skvr10118080,skvr10119130,skvr12134930,skvr13069310,skvr13070580,skvr13123680,skvr14119170,skvr14119180,skvr14119190,skvr14119200,skvr14119210,skvr14119220,skvr14119230,skvr14119240,skvr14119270,skvr14119310,skvr14119320
t050300_2140	Vaska	skvr02112160,skvr02112240
t050300_2150	Vasselei	skvr01119951,skvr01119950
t050300_2160	Venäläinen	skvr13121050,skvr13121060
t050300_2170	Vihtori	skvr10118680
t050300_2180	Vikki	skvr10119140
t050300_2190	Ville	skvr10119150,skvr13123670
t050300_2200	Vilppu	skvr09132620
t050400_1990	Vaari meni Ruotsiin	skvr11104240,skvr11104250
t050400_2000	Varis istui aidan päällä - räknäs yhtä, räknäs kahta	skvr10119380,skvr12124930
t050400_2010	Varis kysyi piippua loo	skvr12130840,skvr12130850,skvr12130860
t050400_2020	Venäjän vehkel	skvr12183600,skvr12183610,skvr12183620,skvr12183630,skvr12183640,skvr12183650
t050400_2030	Vii, viklin, kuu, kuklin	skvr12130870
t050400_2040	Viika vaaka	skvr13076590
t050400_2050	Vikkoo, vakkoo, Vaiseri maiseri	skvr10117462
t050400_2060	Viklo, vaklo, vikathen löysi	skvr12130880,skvr12130890
t050400_2070	Voi voi sentään kuinka monta kertaa	skvr06125470
t060100_0210	Valtuutus	skvr02107920,skvr09400120,skvr06130040,skvr06130690,skvr07200010,skvr07200030,skvr07200070,skvr12154030,skvr12154040,skvr12184200
t060200_0300	Vainajien laulu	skvr10121080
t060200_0310	Varaus haltioita vastaan	skvr12137230
t060200_0320	Veden väen nosto (Tietäjän avunpyyntö)	skvr01210580,skvr01210600,skvr02109420,skvr09402500,skvr09402820,skvr06130260,skvr06140980,skvr06140990,skvr07231280,skvr07231360,skvr12162990,skvr12163010
t060200_0330	Vedenhaltialle	skvr01200310,skvr01200320,skvr01200330,skvr01200340,skvr01200350,skvr01200360,skvr01200370,skvr01200380,skvr01200390,skvr01200400,skvr02110990,skvr03146190,skvr03146200,skvr03146210,skvr03146220,skvr09302050,skvr09400260,skvr06130870,skvr06130880,skvr06130890,skvr06171971,skvr06175160,skvr07200520,skvr07200570,skvr07200580,skvr07251950,skvr07251960,skvr10151470,skvr12136230,skvr12137160,skvr12137170,skvr12137180,skvr12137190,skvr12137200,skvr12137210,skvr13084560,skvr13084570,skvr13084580,skvr13084590,skvr13127200
t060300_0310	Vainaja ei vie mukanaan liikaa	skvr06131270,skvr06131280,skvr06131290,skvr06131300,skvr06131310,skvr12184360,skvr12184370,skvr12184380,skvr12184390,skvr13084320,skvr13084340
t060300_0320	Vainaja ja lehmä	skvr12184410
t060300_0330	Vainajain muistelupäivä	skvr01225380
t060300_0340	Vainajalle ruokaa annettaessa	skvr06131320,skvr06131340
t060300_0350	Vainajalta pyydetään lääkettä	skvr12137250
t060300_0360	Vainajan hyvästeleminen	skvr06131350,skvr06131360,skvr06131370,skvr12137330
t060300_0370	Vainajan kummitteleminen estetään	skvr01220530,skvr01220780,skvr09400530,skvr09400540,skvr09400610,skvr09400620,skvr09400630,skvr09400640,skvr06131410,skvr06131420,skvr07252010,skvr07252020,skvr07252100,skvr07252110,skvr10121010,skvr10121020,skvr10121030,skvr10121040,skvr10121050,skvr10121060,skvr10121081,skvr10121090,skvr11105660,skvr12137270,skvr12137440,skvr12137450,skvr12137560,skvr12184400,skvr13127080,skvr13127090,skvr14121050
t060300_0380	Vainajan lepytteleminen hautausmaalla	skvr03145990,skvr03146000
t060300_0390	Vainajan suojeleminen pahalta	skvr09400650,skvr09400660
t060300_0400	Varautuminen vainajia vastaan	skvr09300090,skvr09400480,skvr09400490,skvr09400500,skvr09400510,skvr09400520,skvr06131210,skvr07251990,skvr07252000,skvr07252030,skvr11105670,skvr11105680,skvr12137460,skvr12137470,skvr12137480,skvr12137510,skvr12137560,skvr13127110,skvr13127120
t060500_2620	Vamma	skvr12162760,skvr12162770,skvr12162780,skvr12162790,skvr12162800,skvr12162810,skvr12162820,skvr12162830,skvr12162840,skvr12162850,skvr12162860,skvr12162870,skvr12162880,skvr12162890,skvr12162900,skvr12162910
t060500_2630	Varas parannetaan	skvr09406200
t060500_2640	Variksen saappaat	skvr02113810,skvr09306000,skvr12180830,skvr12180840
t060500_2650	Vatsamatojen poistaminen	skvr07223120
t060500_2660	Vatsatauti	skvr01206970,skvr09406210,skvr06142990,skvr06143000,skvr06143020,skvr06143030,skvr06143040,skvr06143050,skvr06143060,skvr06147610,skvr06147620,skvr06173580,skvr06173930,skvr07216710,skvr07221410,skvr07302970,skvr12156390,skvr12156400,skvr12156460,skvr12156470,skvr12156520,skvr13095080,skvr13095090,skvr13095120,skvr13095130
t060500_2670	Veden vihat haavasta	skvr01210110,skvr06172301,skvr12163080,skvr12163120,skvr12163130,skvr12163150,skvr12163160,skvr12163170,skvr12163180,skvr12163190,skvr12163200,skvr12163210,skvr12163220,skvr12163230,skvr12163240,skvr12163270,skvr12163280,skvr12163310,skvr12163320,skvr12163330,skvr12163340,skvr12163350,skvr12163370,skvr12163380
t060500_2680	Vedestä tarttuu	skvr01210140,skvr01210150,skvr01210160,skvr01210170,skvr01210180,skvr01210200,skvr01210210,skvr01210220,skvr01210230,skvr01210240,skvr01210250,skvr01210260,skvr01210270,skvr01210280,skvr01210290,skvr01210300,skvr01210310,skvr01210320,skvr01210331,skvr01210332,skvr01210330,skvr01210340,skvr01210350,skvr01210360,skvr01210370,skvr01210380,skvr01210390,skvr01210400,skvr01210410,skvr01210420,skvr01210430,skvr01210440,skvr01210450,skvr01210460,skvr01210470,skvr01210480,skvr01210490,skvr01210500,skvr01210510,skvr01210520,skvr01210530,skvr01210540,skvr01210550,skvr01210560,skvr01210570,skvr01210580,skvr01210590,skvr01210600,skvr01210610,skvr01210620,skvr01224570,skvr01224580,skvr01224590,skvr01209310,skvr02109310,skvr02109320,skvr02109330,skvr02109340,skvr02109350,skvr02109360,skvr02109370,skvr02109380,skvr02109390,skvr02109400,skvr02109410,skvr03145660,skvr09403740,skvr09404310,skvr09404340,skvr09406240,skvr09406250,skvr09406260,skvr09406270,skvr09406280,skvr09406290,skvr06131660,skvr06140900,skvr06140910,skvr06140920,skvr06140930,skvr06140940,skvr06140970,skvr07230920,skvr07230930,skvr07230940,skvr07230950,skvr07230960,skvr07230970,skvr07230980,skvr07230990,skvr07231000,skvr07231010,skvr07231020,skvr07231030,skvr07231040,skvr07231050,skvr07231060,skvr07231080,skvr07231090,skvr07231100,skvr07231110,skvr07231120,skvr07231140,skvr07231150,skvr07231160,skvr07231170,skvr07231180,skvr07231190,skvr07231200,skvr07231210,skvr07231220,skvr07231230,skvr07231240,skvr07231250,skvr07231260,skvr07231270,skvr07231290,skvr07231300,skvr07231320,skvr07231330,skvr07231350,skvr07231370,skvr07231380,skvr10138061,skvr10138060,skvr10138072,skvr10138073,skvr10138070,skvr11110460,skvr11110850,skvr11110860,skvr12157710,skvr12158230,skvr12158240,skvr12158260,skvr12162920,skvr12162930,skvr12163030,skvr12163040,skvr12163050,skvr12163070,skvr12163100,skvr12163140,skvr12163250,skvr12163290,skvr12163300,skvr12163360,skvr12163390,skvr12163400,skvr12163410,skvr12163420,skvr12163430,skvr12163440,skvr12186750,skvr12186760,skvr13095140,skvr14124480,skvr14124520,skvr14124560
t060500_2690	Veren pilaus	skvr12163550
